epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.146,1.2092,3.25187,1.52297,0.77113,0.14968,0.14539,0.09087,1.34213,1.88389,1.70349,0.00333053,0.00333053,0.00333053
2,477.342,1.20458,2.26098,1.49668,0.6084,0.19651,0.18317,0.1133,1.38173,1.73133,1.68716,0.00653192,0.00653192,0.00653192
3,709.234,1.23964,2.19686,1.52711,0.39618,0.12182,0.12811,0.07469,1.48831,2.31073,1.87748,0.00960131,0.00960131,0.00960131
4,940.532,1.27002,2.03571,1.53578,0.53678,0.16801,0.1875,0.11353,1.48795,1.80763,1.84123,0.009406,0.009406,0.009406
5,1171.61,1.22486,1.79885,1.502,0.64281,0.22937,0.24975,0.16233,1.39198,1.49318,1.73203,0.009208,0.009208,0.009208
6,1403.04,1.1848,1.64971,1.46675,0.63648,0.21126,0.24961,0.16625,1.3792,1.53716,1.70005,0.00901,0.00901,0.00901
7,1634.87,1.1626,1.55183,1.44925,0.65847,0.23213,0.275,0.1843,1.33824,1.34786,1.66133,0.008812,0.008812,0.008812
8,1865.79,1.13255,1.47238,1.4279,0.63193,0.2418,0.28533,0.19095,1.31009,1.34075,1.60396,0.008614,0.008614,0.008614
9,2098.28,1.11508,1.41449,1.41075,0.68517,0.25814,0.30472,0.20426,1.33739,1.2351,1.63118,0.008416,0.008416,0.008416
10,2331.04,1.11304,1.38805,1.40928,0.65387,0.27414,0.31152,0.21087,1.27139,1.17687,1.59397,0.008218,0.008218,0.008218
11,2563.83,1.09061,1.33384,1.39357,0.6585,0.26452,0.29938,0.20554,1.30006,1.16637,1.62453,0.00802,0.00802,0.00802
12,2796.9,1.07971,1.30636,1.381,0.72829,0.26542,0.32423,0.22441,1.25097,1.11207,1.55621,0.007822,0.007822,0.007822
13,3029.6,1.07388,1.26987,1.37996,0.66421,0.28168,0.32668,0.21995,1.26558,1.085,1.58485,0.007624,0.007624,0.007624
